user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data,id
35 to 44,844,2014-02-21,male,238,21.2,664,Starbucks to Majid,95 kg to 104 kg,Morning Ride,16.6,33.5,20.85,4516,4516,0,880
25 to 34,1066,2015-12-17,male,77,26.1,1220,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,26Dec2015,20.6,46.8,69.17,12099,12099,0,1219
35 to 44,855,2018-11-19,male,224,29.4,244,Oghor 2 SailsIsland,54 kg and under,Evening Ride,18.9,57.2,29.05,5523,5523,0,4195
35 to 44,856,2015-02-18,male,221,28.2,616,North Corniche,65 to 74 kg,Night Ridefff,24.2,37.1,11.62,1731,1731,0,5577
45 to 54,987,2020-02-24,male,103,20.1,301,Headquarters Business Park,65 to 74 kg,Piste cyclable puis direction Obhur - Jeddah Cyclist,24.3,40.0,50.03,7404,7404,0,7761
35 to 44,663,2019-06-29,male,23,36.7,744,Al Fardoos to shellfish round about,75 to 84 kg,Morning Ride,29.7,49.0,88.54,10741,10741,0,1803
25 to 34,309,2014-11-19,male,166,26.9,224,Headquarters Business Park,75 to 84 kg,Evening Ride,20.9,44.3,26.17,4501,4501,0,6431
25 to 34,265,2015-04-13,male,460,20.5,845,North Corniche,105 kg to 114 kg,traning with jeddahcyclists jc544,15.5,45.4,17.54,4076,4076,0,5255
25 to 34,609,2019-01-26,female,46,14.3,421,Headquarters Business Park,54 kg and under,Morning Ride,12.4,25.2,21.49,6225,6225,0,7115
25 to 34,406,2018-09-26,male,173,33.8,212,Oghor 2 SailsIsland,54 kg and under,Evening Ride,25.0,42.1,50.7,7307,7307,0,3501
25 to 34,335,2017-01-02,male,189,33.2,216,Oghor 2 SailsIsland,95 kg to 104 kg,الاثنين ٤/٤/١٤٣٨,22.6,42.1,23.09,3672,3672,0,3520
25 to 34,227,2019-11-15,male,15,39.2,813,S.Ubhur Alkurnaysh South Bound with detour,75 to 84 kg,Morning Ride,34.4,50.8,79.78,8354,8354,0,1158
25 to 34,327,2020-01-03,male,304,23.9,253,Headquarters Business Park,54 kg and under,Morning Ride,25.8,46.1,82.16,11483,11483,1,6576
25 to 34,585,2019-04-24,male,442,24.7,291,Oghor 2 SailsIsland,65 to 74 kg,Evening Ride,21.0,36.0,37.02,6342,6342,0,3773
35 to 44,1226,2018-08-25,male,312,21.8,277,Headquarters Business Park,54 kg and under,Morning Ride,17.4,29.9,30.45,6308,6308,0,7440
35 to 44,807,2014-10-15,male,325,24.2,296,Oghor 2 SailsIsland,105 kg to 114 kg,Night Ride,21.5,33.1,22.18,3709,3709,0,4294
25 to 34,1417,2019-12-30,male,231,30.4,571,North Corniche,85 to 95 kg,Night ride,26.4,43.9,41.53,5668,5668,0,5027
35 to 44,1143,2019-11-08,male,157,24.4,697,King Street side,54 kg and under,sarawat>globe>camel>susu,19.0,45.4,88.48,16763,16763,0,2441
35 to 44,1085,2019-11-06,male,332,23.8,301,Oghor 2 SailsIsland,54 kg and under,Afternoon Ride,23.4,34.9,32.98,5064,5064,0,4303
45 to 54,2232,2019-02-23,male,148,9.6,630,Headquarters Business Park,75 to 84 kg,Morning Ride,9.1,23.0,4.89,1941,1941,1,7805
25 to 34,575,2018-11-10,male,255,24.7,244,Headquarters Business Park,65 to 74 kg,Morning Ride,18.2,38.5,31.77,6299,6299,0,6523
19 and under,1129,2018-10-05,male,20,33.2,216,Oghor 2 SailsIsland,55 to 64 kg,Morning Ride,34.3,55.1,73.43,7706,7706,0,3095
25 to 34,356,2015-08-05,male,436,24.9,288,Oghor 2 SailsIsland,75 to 84 kg,تمرين الأربعاء مع دراج جدة Exercise Wednesdayjeddah cyclist ,19.3,43.6,40.38,7516,7516,0,3765
25 to 34,1513,2020-03-12,female,13,22.7,266,Headquarters Business Park,54 kg and under,Morning Ride,29.2,99.0,34.36,4233,4233,0,7084
25 to 34,321,2017-12-25,male,150,34.5,208,Oghor 2 SailsIsland,54 kg and under,Evening Ride,24.3,40.3,53.7,7957,7957,0,3481
35 to 44,867,2018-01-03,male,263,19.3,728,Starbucks to Majid,54 kg and under,Evening Ride,17.7,47.5,27.2,5534,5534,0,904
20 to 24,2,2019-10-25,male,5,31.0,796,Obhur North Short,65 to 74 kg,Morning Ride,30.1,57.2,102.85,12295,12295,1,1446
35 to 44,1973,2018-10-24,male,247,23.4,258,Headquarters Business Park,75 to 84 kg,Evening Ride,16.6,42.1,23.54,5112,5112,0,7375
45 to 54,981,2013-11-06,male,72,23.4,258,Headquarters Business Park,75 to 84 kg,Evening Ride,20.7,37.8,42.27,7347,7347,0,7729
35 to 44,2065,2019-04-19,male,11,37.5,161,Headquarters Business Park,65 to 74 kg,Afternoon Ride,39.4,64.1,49.81,4554,4554,1,7137
25 to 34,320,2018-01-13,male,286,24.1,250,Headquarters Business Park,,Evening Ride,20.7,34.6,14.11,2451,2451,0,6552
35 to 44,229,2019-10-30,male,64,37.8,190,Oghor 2 SailsIsland,65 to 74 kg,Evening Ride,29.3,43.2,58.77,7216,7216,1,4035
35 to 44,1081,2016-10-21,male,25,30.0,825,Obhur North Short,65 to 74 kg,Morning Ride,26.1,38.5,101.25,13953,13953,0,1565
35 to 44,878,2018-08-10,male,319,22.1,786,North Corniche,105 kg to 114 kg,Morning Ride,17.5,27.0,36.27,7446,7446,1,5674
35 to 44,842,2019-08-09,male,274,22.9,264,Headquarters Business Park,65 to 74 kg,تمسيكة سريعة,18.9,59.8,23.59,4501,4501,0,7403
19 and under,32,2019-10-04,male,38,23.9,253,Headquarters Business Park,54 kg and under,Morning Ride,20.2,34.2,27.92,4971,4971,0,5976
35 to 44,648,2016-08-03,male,19,37.8,450,King Street side,65 to 74 kg,Morning Ride,29.1,43.6,43.93,5441,5441,1,2302
35 to 44,1561,2017-06-03,male,327,21.4,811,North Corniche,54 kg and under,Night Ride,18.8,29.2,30.37,5816,5816,0,5682
25 to 34,1070,2017-11-15,male,397,24.1,720,North Corniche,54 kg and under,Morning Ride,17.7,37.4,38.31,7775,7775,0,5192
25 to 34,1188,2018-09-10,male,557,19.3,312,Headquarters Business Park,85 to 95 kg,تمشية على مسار الدرجات على كورنيش جدة,17.9,29.9,12.61,2530,2530,0,6823
25 to 34,624,2020-02-17,female,19,21.2,339,Oghor 2 SailsIsland,54 kg and under,with Brave Cyclist woman biking ,17.4,25.6,31.05,6434,6434,0,3964
25 to 34,1065,2018-12-17,male,204,31.2,556,North Corniche,95 kg to 104 kg,A Ride with Jeddah Cycliest,23.7,40.3,50.69,7697,7697,0,4999
25 to 34,1809,2018-12-04,male,271,24.4,247,Headquarters Business Park,85 to 95 kg,Evening Ride,20.4,33.8,12.82,2260,2260,0,6537
19 and under,7,2019-09-18,male,4,41.3,420,North Corniche,65 to 74 kg,Morning Ride,32.8,47.9,43.62,4789,4789,1,4626
45 to 54,972,2015-05-22,male,66,24.1,706,King Street side,85 to 95 kg,Kingdom Tower,27.6,49.7,102.73,13418,13418,0,2578
35 to 44,824,2019-09-16,male,254,28.2,254,Oghor 2 SailsIsland,,Evening Ride,23.2,36.4,50.5,7821,7821,0,4224
25 to 34,1912,2019-12-15,male,600,18.6,324,Headquarters Business Park,54 kg and under,Night Ride,16.6,29.2,11.21,2436,2436,0,6866
25 to 34,1925,2019-12-09,male,624,18.2,332,Headquarters Business Park,,Afternoon Ride,17.3,43.6,17.44,3640,3640,0,6888
25 to 34,247,2017-01-25,male,103,29.3,480,Starbucks to Majid,65 to 74 kg,Night Ride,34.3,47.9,42.23,4434,4434,1,254
25 to 34,1445,2018-03-25,male,439,24.8,289,Oghor 2 SailsIsland,54 kg and under,Night Ride,18.3,47.2,23.98,4731,4731,0,3768
35 to 44,670,2018-04-23,male,4,48.1,149,Oghor 2 SailsIsland,65 to 74 kg,Ciclismo por la mañana,31.9,51.8,70.23,7921,7921,1,3973
20 to 24,77,2018-07-09,male,33,26.3,647,King Street side,75 to 84 kg,Evening Ride,24.1,74.5,49.14,7337,7337,0,1954
25 to 34,214,2015-03-07,male,70,30.8,457,Starbucks to Majid,75 to 84 kg,3:30 con Patrice por Obhur con 3x12'R3 W/10'R1-2,31.0,48.2,110.1,12776,12776,0,221
25 to 34,260,2018-05-07,male,116,28.9,488,Starbucks to Majid,54 kg and under,Evening Ride,21.4,38.5,47.68,8035,8035,0,267
20 to 24,103,2018-08-27,male,56,22.9,616,Starbucks to Majid,75 to 84 kg,A ride with Jeddah cyclist ,21.0,36.0,47.9,8228,8228,0,107
19 and under,13,2019-12-05,male,18,34.4,505,North Corniche,65 to 74 kg,Evening Ride,27.3,68.0,74.23,9776,9776,0,4640
25 to 34,222,2019-12-16,male,82,23.4,1361,S.Ubhur Alkurnaysh South Bound with detour,,الجوهرة,27.5,46.4,53.37,6987,6987,0,1226
35 to 44,1231,2019-11-15,male,187,31.1,231,Oghor 2 SailsIsland,54 kg and under,Morning Ride,19.1,41.4,45.47,8559,8559,0,4161
25 to 34,501,2017-02-01,male,613,18.3,329,Headquarters Business Park,115 kg and over,Night Ride. Hardcore riding and windy weather ,16.6,35.6,17.22,3726,3726,0,6879
25 to 34,334,2016-04-13,male,56,22.3,1107,Obhur North Short,54 kg and under,Morning Ride,22.8,31.7,47.43,7494,7494,0,1512
35 to 44,766,2019-08-22,male,80,36.4,197,Oghor 2 SailsIsland,75 to 84 kg,Night Ride,23.4,52.2,36.89,5688,5688,1,4050
19 and under,1151,2019-03-19,male,29,4.7,3628,King Street side,54 kg and under,Afternoon Ride,16.2,42.8,69.92,15555,15555,0,1918
25 to 34,71,2018-09-19,male,151,27.1,520,Starbucks to Majid,75 to 84 kg,تمرين لطيف two hearts man biking: light skin tone up arrow ,28.1,37.1,20.04,2570,2570,0,303
35 to 44,810,2018-02-09,male,127,22.6,432,PRINCE SULTAN - ASSALAM TO FATIMA,95 kg to 104 kg,صباح النشاط,18.9,33.8,44.9,8567,8567,1,2960
35 to 44,639,2017-06-05,male,6,47.5,151,Oghor 2 SailsIsland,65 to 74 kg,Night Ride,33.4,57.6,47.28,5102,5102,0,3975
45 to 54,986,2018-09-20,male,108,19.2,314,Headquarters Business Park,65 to 74 kg,Night Ride,23.7,36.4,27.65,4205,4205,0,7765
35 to 44,675,2020-01-15,male,14,38.6,441,King Street side,75 to 84 kg,Lunch Ride,32.5,48.2,42.92,4760,4760,1,2298
35 to 44,1571,2017-07-31,male,404,17.8,403,Oghor 2 SailsIsland,,Evening Ride,16.4,25.6,17.98,3950,3950,0,4373
25 to 34,1064,2016-12-23,male,68,27.5,1160,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,Morning Ride,23.0,49.0,73.73,11564,11564,0,1210
35 to 44,1075,2019-02-06,male,20,37.6,453,King Street side,54 kg and under,Evening Ride,32.0,47.5,28.86,3248,3248,0,2304
19 and under,9,2019-05-22,male,16,29.2,582,King Street side,55 to 64 kg,Night Ride,25.7,41.4,59.63,8347,8347,1,1905
45 to 54,972,2017-04-14,male,32,31.2,875,Al Fardoos to shellfish round about,85 to 95 kg,Morning Ride,27.6,39.6,69.64,9090,9090,0,1871
19 and under,17,2017-10-21,male,8,28.0,883,Obhur North Short,54 kg and under,Morning Ride,28.5,49.7,91.35,11543,11543,0,1436
25 to 34,229,2019-04-12,male,60,38.2,454,North Corniche,65 to 74 kg,Morning Ride,30.8,43.6,50.01,5846,5846,1,4855
25 to 34,447,2018-11-06,male,237,30.2,575,North Corniche,105 kg to 114 kg,Afternoon Ride,20.5,40.0,41.31,7243,7243,0,5033
25 to 34,72,2018-10-03,male,223,25.0,564,Starbucks to Majid,54 kg and under,Morning Ride,22.4,54.4,39.23,6306,6306,0,376
20 to 24,106,2014-06-11,male,34,33.5,214,Oghor 2 SailsIsland,55 to 64 kg,Night Ride,25.2,47.5,22.13,3167,3167,0,3169
35 to 44,716,2019-04-19,male,152,31.3,555,North Corniche,65 to 74 kg,Morning Ride,20.7,36.4,41.91,7290,7290,1,5508
25 to 34,351,2019-11-18,male,304,23.9,253,Headquarters Business Park,65 to 74 kg,Evening Ride,24.6,43.6,51.98,7606,7606,0,6575
35 to 44,731,2016-11-12,male,112,27.1,519,Starbucks to Majid,85 to 95 kg,Afternoon Ride,22.0,37.1,20.5,3359,3359,0,755
25 to 34,283,2015-05-25,male,140,27.7,509,Starbucks to Majid,85 to 95 kg,Night Ride,25.4,38.9,46.5,6591,6591,0,291
35 to 44,614,2019-11-22,female,3,29.0,598,North Corniche,55 to 64 kg,Morning Ride,25.8,33.8,53.59,7468,7468,1,5741
35 to 44,660,2016-10-28,male,3,35.7,693,Obhur North Short,75 to 84 kg,Morning Ride,32.5,42.8,71.74,7946,7946,1,1543
25 to 34,537,2018-12-24,male,230,31.6,227,Oghor 2 SailsIsland,95 kg to 104 kg,Night Ride,22.1,44.6,26.05,4235,4235,1,3560
25 to 34,182,2019-04-27,male,37,34.3,410,Starbucks to Majid,75 to 84 kg,Geely|jeddah|race ,31.4,39.6,42.86,4911,4911,1,188
35 to 44,774,2019-11-04,male,251,28.4,253,Oghor 2 SailsIsland,75 to 84 kg,Evening Ride,18.5,38.9,24.98,4872,4872,0,4222
25 to 34,321,2017-12-15,male,59,28.9,1102,S.Ubhur Alkurnaysh South Bound with detour,54 kg and under,63 kilometers,24.2,42.1,54.72,8148,8148,0,1201
25 to 34,1919,2020-03-06,male,610,18.4,328,Headquarters Business Park,65 to 74 kg,Afternoon Ride,17.8,52.2,15.51,3139,3139,0,6876
19 and under,4,2017-12-26,male,5,43.0,167,Oghor 2 SailsIsland,54 kg and under,Lunch Ride,26.8,51.5,99.21,13306,13306,0,3080
25 to 34,1053,2019-06-08,female,4,23.5,1053,Obhur North Short,65 to 74 kg,Emad tri series cycling leg ,25.8,34.2,19.78,2764,2764,1,1536
25 to 34,544,2018-04-13,male,530,21.2,339,Oghor 2 SailsIsland,54 kg and under,Morning Ride,19.1,29.2,30.59,5768,5768,0,3859
45 to 54,985,2020-03-10,male,101,26.7,269,Oghor 2 SailsIsland,54 kg and under,Evening Ride,20.7,47.5,100.26,17420,17420,0,4515
25 to 34,490,2013-11-22,male,350,20.2,696,Starbucks to Majid,75 to 84 kg,Morning Ride 33km,18.0,31.7,31.05,6220,6220,0,501
35 to 44,2099,2017-12-24,male,221,24.0,252,Headquarters Business Park,54 kg and under,Afternoon Ride,16.6,31.7,9.99,2172,2172,0,7348
45 to 54,685,2019-07-29,male,16,37.4,261,PRINCE SULTAN - ASSALAM TO FATIMA,75 to 84 kg,Night Ride,28.1,42.8,40.03,5126,5126,1,3000
19 and under,1361,2017-03-18,male,85,13.1,462,Headquarters Business Park,55 to 64 kg,Morning Ride,9.1,30.2,19.97,7928,7928,0,6023
25 to 34,617,2020-03-06,female,7,8.4,2946,Obhur North Short,54 kg and under,Afternoon Ride,19.6,36.7,49.58,9107,9107,0,1539
25 to 34,519,2018-07-08,male,517,21.7,330,Oghor 2 SailsIsland,85 to 95 kg,Pulang Ke Ganggang Sambil Terbongkang face with tears of joy face with tears of joy face with tears of joy ,18.6,31.0,27.09,5246,5246,0,3846
35 to 44,797,2019-07-08,male,256,26.1,666,North Corniche,54 kg and under,Night Ride,21.1,40.3,26.25,4485,4485,0,5613
19 and under,46,2017-03-27,male,2,43.9,395,North Corniche,75 to 84 kg,Night Ride,33.6,47.5,42.64,4567,4567,1,4623
35 to 44,737,2018-03-09,male,149,25.9,233,Headquarters Business Park,54 kg and under,Training 9.3.18,23.8,39.2,45.9,6938,6938,0,7277
35 to 44,658,2019-04-27,male,29,34.5,408,Starbucks to Majid,75 to 84 kg,Jeddah 50 Challenge,32.5,40.0,44.36,4910,4910,1,672
55 to 64,1620,2019-10-15,male,32,4.5,3893,North Corniche,,Night Ride,10.5,71.6,56.28,19302,19302,0,5929
45 to 54,809,2017-02-15,male,33,36.2,198,Oghor 2 SailsIsland,105 kg to 114 kg,تمرين رائع مع هتان المطر ,25.6,41.8,29.1,4093,4093,0,4447
25 to 34,390,2016-10-17,male,600,18.6,324,Headquarters Business Park,55 to 64 kg,Evening Rideتمرين مع قروب جدة ,20.2,41.8,20.39,3633,3633,0,6864
20 to 24,58,2019-04-19,male,20,30.3,199,Headquarters Business Park,,Afternoon Ride,30.3,53.6,32.9,3903,3903,1,6072
35 to 44,788,2019-04-19,male,157,32.8,219,Oghor 2 SailsIsland,75 to 84 kg,Morning Ride,19.7,41.4,30.96,5649,5649,1,4128
35 to 44,769,2020-02-17,male,281,22.6,267,Headquarters Business Park,95 kg to 104 kg,Evening Ride,21.6,41.4,37.52,6257,6257,1,7411
25 to 34,310,2018-05-02,male,111,30.6,556,King Street side,65 to 74 kg,Evening Ride,23.5,40.0,52.52,8031,8031,0,2094
25 to 34,180,2019-01-18,male,25,37.7,259,PRINCE SULTAN - ASSALAM TO FATIMA,75 to 84 kg,Morning Ride,28.7,49.3,89.56,11230,11230,0,2692
20 to 24,138,2019-04-13,male,120,20.0,302,Headquarters Business Park,54 kg and under,Morning Ride,18.6,38.2,22.38,4334,4334,0,6171
25 to 34,201,2015-12-25,male,50,32.8,971,S.Ubhur Alkurnaysh South Bound with detour,85 to 95 kg,xmasride ridesafe GodBless everyone,25.4,47.9,61.31,8689,8689,0,1192
35 to 44,720,2018-10-08,male,124,32.7,530,North Corniche,75 to 84 kg,Evening Ride,22.7,40.3,22.66,3602,3602,0,5480
20 to 24,2,2019-08-22,male,40,26.5,228,Headquarters Business Park,65 to 74 kg,Evening Ride,25.4,55.1,16.7,2365,2365,1,6091
25 to 34,1514,2019-01-24,female,13,22.7,266,Headquarters Business Park,54 kg and under,Morning Ride,18.5,32.0,20.77,4038,4038,0,7083
25 to 34,306,2019-03-12,male,57,20.9,1184,Obhur North Short,75 to 84 kg,Afternoon Ride,20.8,46.1,125.05,21677,21677,1,1513
25 to 34,209,2019-04-26,male,65,31.1,452,Starbucks to Majid,65 to 74 kg,Morning Ride,26.4,37.4,33.47,4568,4568,0,216
45 to 54,1017,2020-01-25,male,107,25.9,277,Oghor 2 SailsIsland,54 kg and under,Afternoon Ride,16.6,38.2,23.26,5046,5046,0,4522
25 to 34,588,2019-07-07,male,534,10.6,1644,North Corniche,54 kg and under,Evening Ride,13.5,50.0,60.84,16226,16226,0,5329
25 to 34,411,2019-02-22,male,269,23.5,598,Starbucks to Majid,75 to 84 kg,Morning Ride,25.1,43.9,101.3,14529,14529,0,421
25 to 34,494,2018-01-30,male,354,20.0,703,Starbucks to Majid,54 kg and under,٢٠١٨/١/٣٠,18.4,52.2,34.61,6774,6774,0,505
25 to 34,1050,2015-11-25,male,428,22.4,776,North Corniche,65 to 74 kg,Morning Ride,17.2,42.5,17.09,3579,3579,0,5223
25 to 34,367,2017-09-06,male,53,35.3,482,King Street side,75 to 84 kg,Evening Ride,28.9,72.0,48.37,6025,6025,0,2034
35 to 44,908,2017-04-17,male,410,16.5,435,Oghor 2 SailsIsland,54 kg and under,Night Ride,13.4,24.8,7.55,2038,2038,0,4379
35 to 44,231,2019-02-22,male,89,29.2,582,King Street side,65 to 74 kg,Morning Ride,27.2,52.2,99.47,13154,13154,1,2372
35 to 44,703,2020-02-07,male,42,25.1,983,Obhur North Short,95 kg to 104 kg,Afternoon Ride,26.9,50.4,102.06,13669,13669,0,1582
25 to 34,495,2018-08-25,male,355,20.0,704,Starbucks to Majid,,Evening Ride,19.9,34.2,22.37,4054,4054,0,506
45 to 54,809,2016-05-30,male,41,35.2,493,North Corniche,105 kg to 114 kg,تمرين 100%,21.4,51.1,16.42,2769,2769,0,5790
35 to 44,1243,2018-08-20,male,235,28.8,249,Oghor 2 SailsIsland,65 to 74 kg,Morning Ride,19.8,34.9,56.76,10321,10321,0,4204
25 to 34,419,2020-02-14,male,262,30.7,234,Oghor 2 SailsIsland,54 kg and under,هوييييدي يسعدلي جوك ( شغاااااال ),15.1,42.8,27.21,6498,6498,0,3592
35 to 44,1218,2020-03-30,male,59,33.5,292,PRINCE SULTAN - ASSALAM TO FATIMA,54 kg and under,Morning Ride,26.9,49.0,30.01,4019,4019,0,2892
35 to 44,2192,2018-12-25,female,17,17.7,342,Headquarters Business Park,54 kg and under,Evening Ride,15.6,61.6,17.3,3998,3998,0,7644
45 to 54,945,2018-11-05,male,10,33.5,180,Headquarters Business Park,54 kg and under,Morning Ride,34.3,44.6,48.29,5069,5069,1,7667
35 to 44,1326,2019-07-07,male,61,33.1,295,PRINCE SULTAN - ASSALAM TO FATIMA,,Evening Ride,26.0,42.5,14.82,2051,2051,0,2894
20 to 24,57,2016-12-05,male,18,35.1,494,North Corniche,65 to 74 kg,Evening Ride,31.5,57.6,45.48,5205,5205,0,4696
25 to 34,597,2018-08-14,male,728,15.3,395,Headquarters Business Park,54 kg and under,Afternoon Ride,14.8,24.1,20.24,4941,4941,0,6992
25 to 34,233,2018-12-19,male,114,36.4,197,Oghor 2 SailsIsland,54 kg and under,Evening Ride,24.0,44.6,52.94,7931,7931,0,3393
19 and under,47,2018-12-14,female,1,25.3,284,Oghor 2 SailsIsland,54 kg and under,Morning Ride,22.1,35.6,43.63,7104,7104,0,3133
25 to 34,391,2017-05-31,male,245,30.0,579,North Corniche,85 to 95 kg,Night Ride,23.2,46.4,25.74,3997,3997,1,5041
35 to 44,909,2020-02-16,male,201,17.5,970,King Street side,54 kg and under,Afternoon Ride,16.1,29.2,23.94,5366,5366,0,2484
25 to 34,338,2018-05-11,male,196,25.8,546,Starbucks to Majid,54 kg and under,Afternoon Ride,24.1,37.1,77.27,11521,11521,0,347
25 to 34,589,2018-06-10,male,677,17.0,356,Headquarters Business Park,95 kg to 104 kg,طلعتنا اليوم,11.9,31.3,13.84,4189,4189,0,6942
25 to 34,1822,2018-12-26,male,336,23.2,260,Headquarters Business Park,54 kg and under,Afternoon Ride,15.4,36.0,15.54,3636,3636,0,6604
25 to 34,324,2018-08-23,male,181,26.2,537,Starbucks to Majid,115 kg and over,Morning Ride,26.9,49.7,42.46,5692,5692,0,333
20 to 24,121,2017-10-14,male,62,26.7,650,North Corniche,75 to 84 kg,Night Ride,21.6,29.9,17.68,2945,2945,0,4740
25 to 34,279,2014-11-19,male,172,26.8,225,Headquarters Business Park,75 to 84 kg,Evening Ride,21.5,36.0,25.9,4333,4333,0,6437
25 to 34,1825,2019-09-14,male,341,23.1,261,Headquarters Business Park,54 kg and under,Today’s relaxing ride ,20.1,34.9,35.36,6332,6332,0,6609
45 to 54,954,2019-02-06,male,30,31.3,544,King Street side,95 kg to 104 kg,Evening Ride,23.3,38.5,58.52,9025,9025,0,2542
35 to 44,1551,2018-04-04,male,346,23.3,308,Oghor 2 SailsIsland,85 to 95 kg,Evening Ride,18.9,30.6,27.64,5274,5274,0,4315
25 to 34,155,2018-09-02,male,618,18.3,330,Headquarters Business Park,54 kg and under,Evening Ride,16.8,34.6,13.63,2920,2920,0,6882
20 to 24,107,2018-12-26,male,17,31.0,195,Headquarters Business Park,65 to 74 kg,Training ,22.0,38.9,20.59,3367,3367,0,6068
35 to 44,2102,2019-04-19,male,236,23.6,256,Headquarters Business Park,54 kg and under,Afternoon Ride,29.7,52.2,8.3,1006,1006,1,7363
35 to 44,320,2018-11-10,male,406,18.5,327,Headquarters Business Park,,Night Ride,14.7,39.2,25.33,6220,6220,0,7533
25 to 34,1833,2019-07-31,male,382,22.4,270,Headquarters Business Park,54 kg and under,Night Ride,20.0,42.5,11.19,2011,2011,0,6653
35 to 44,417,2019-10-23,male,104,27.5,512,Starbucks to Majid,105 kg to 114 kg,Evening Ride,24.1,30.6,15.25,2282,2282,1,746
35 to 44,1073,2019-02-08,male,23,30.4,813,Obhur North Short,54 kg and under,Morning Ride,27.7,52.2,107.39,13941,13941,0,1563
20 to 24,1166,2019-08-08,male,79,23.0,263,Headquarters Business Park,54 kg and under,Night Ride,17.5,43.9,53.66,11010,11010,0,6130
